date,temperature_mean_c,temperature_min_c,temperature_max_c,rainfall_total_mm
2021-01-01,17.647207,15.489676,20.101202,131.83052
2021-01-02,17.791643,14.539417,20.68308,85.426025
2021-01-03,18.443098,15.208906,22.124569,68.04021
2021-01-04,18.980545,15.743317,22.976301,54.49306
2021-01-05,19.743263,14.836883,23.990088,10.919168
2021-01-06,19.890238,15.920296,23.582403,16.939728
2021-01-07,20.298222,15.571085,24.614594,13.48059
2021-01-08,19.5302,15.858935,24.01575,65.64926
2021-01-09,17.738157,15.602157,20.662085,153.42497
2021-01-10,18.549395,15.0065155,22.772926,58.788338
2021-01-11,18.819603,15.379212,22.494015,72.76723
2021-01-12,19.203495,15.691232,22.950666,64.79341
2021-01-13,19.352137,16.243876,23.597105,91.4424
2021-01-14,18.430025,16.061317,21.721832,147.67923
2021-01-15,18.091812,15.876834,20.816525,75.15763
2021-01-16,18.18232,14.955288,22.044859,117.51195
2021-01-17,18.97485,13.956434,23.909973,45.61753
2021-01-18,19.03567,15.083407,22.701456,80.75026
2021-01-19,19.869001,15.726433,24.265686,40.66617
2021-01-20,19.455566,15.899567,23.460855,66.698006
2021-01-21,19.95805,15.157732,24.18442,21.59321
2021-01-22,19.92138,15.680325,23.810886,19.290102
2021-01-23,19.730106,15.415245,23.967737,23.525764
2021-01-24,18.654123,14.969209,21.93069,77.455536
2021-01-25,18.347162,14.36509,22.262556,45.22963
2021-01-26,19.205004,14.440591,23.522102,10.974542
2021-01-27,19.985338,15.068211,24.495073,4.7994723
2021-01-28,20.375105,15.143039,25.0717,6.3672075
2021-01-29,20.432522,15.43038,25.031025,6.97355
2021-01-30,19.623713,15.39696,23.583054,33.03698
2021-01-31,20.07846,15.445274,24.437407,12.699856
