date,tmean_c,dewpoint_c,rainfall_mm,soil_water_layer1_m3_m3,runoff_mm,surface_runoff_mm,source_file
2025-01-01,19.9813,13.223,9.1861,0.3732,18.8615,,era5_land_rwanda_2025_01.nc
2025-01-02,19.8854,14.0695,11.3052,0.3686,18.2081,,era5_land_rwanda_2025_01.nc
2025-01-03,20.3411,13.6663,7.663,0.3621,16.7742,,era5_land_rwanda_2025_01.nc
2025-01-04,20.0751,13.8803,16.2644,0.3589,16.6511,,era5_land_rwanda_2025_01.nc
2025-01-05,19.779,14.2707,30.8005,0.3604,17.2209,,era5_land_rwanda_2025_01.nc
2025-01-06,20.0428,13.5708,8.7082,0.357,14.7078,,era5_land_rwanda_2025_01.nc
2025-01-07,20.4256,13.6202,8.2297,0.3486,14.0276,,era5_land_rwanda_2025_01.nc
2025-01-08,20.2844,14.1329,41.0971,0.3518,16.4868,,era5_land_rwanda_2025_01.nc
2025-01-09,20.3067,14.337,33.5461,0.3567,14.5938,,era5_land_rwanda_2025_01.nc
2025-01-10,19.7537,14.6086,46.857,0.3651,15.2016,,era5_land_rwanda_2025_01.nc
2025-01-11,18.8289,15.0929,76.6714,0.3794,20.3199,,era5_land_rwanda_2025_01.nc
2025-01-12,19.7337,14.7442,33.3202,0.3828,13.9191,,era5_land_rwanda_2025_01.nc
2025-01-13,20.587,14.0208,14.3251,0.3745,12.5338,,era5_land_rwanda_2025_01.nc
2025-01-14,20.6237,13.9664,17.2996,0.365,12.6627,,era5_land_rwanda_2025_01.nc
2025-01-15,20.7305,12.3736,12.1978,0.3544,12.3521,,era5_land_rwanda_2025_01.nc
2025-01-16,19.8839,12.8567,5.3717,0.3441,10.2154,,era5_land_rwanda_2025_01.nc
2025-01-17,20.243,12.1071,3.4447,0.336,9.7344,,era5_land_rwanda_2025_01.nc
2025-01-18,20.5935,12.3841,4.2072,0.3283,9.5684,,era5_land_rwanda_2025_01.nc
2025-01-19,20.4163,13.3802,27.7231,0.3292,10.3118,,era5_land_rwanda_2025_01.nc
2025-01-20,18.9988,14.8154,90.9935,0.3601,14.3659,,era5_land_rwanda_2025_01.nc
2025-01-21,19.3163,14.6645,69.2542,0.3802,16.7756,,era5_land_rwanda_2025_01.nc
2025-01-22,18.9965,14.9857,138.4129,0.3944,34.4919,,era5_land_rwanda_2025_01.nc
2025-01-23,19.2148,14.5789,46.9468,0.3976,15.1716,,era5_land_rwanda_2025_01.nc
2025-01-24,19.3394,15.0825,102.031,0.402,22.418,,era5_land_rwanda_2025_01.nc
2025-01-25,18.7807,14.6218,81.9057,0.4072,17.6884,,era5_land_rwanda_2025_01.nc
2025-01-26,19.0073,14.4915,51.9141,0.4053,16.4688,,era5_land_rwanda_2025_01.nc
2025-01-27,19.5291,14.5871,53.1187,0.3998,16.3227,,era5_land_rwanda_2025_01.nc
2025-01-28,19.6604,13.6409,23.0455,0.3959,10.8577,,era5_land_rwanda_2025_01.nc
2025-01-29,19.2362,14.1811,36.4772,0.3899,12.3038,,era5_land_rwanda_2025_01.nc
2025-01-30,20.0888,13.7868,23.0634,0.389,11.0424,,era5_land_rwanda_2025_01.nc
2025-01-31,20.4728,14.0924,28.2364,0.3805,13.5293,,era5_land_rwanda_2025_01.nc
