district,longitude,latitude
Nyarugenge,30.03071125812142,-1.971262357126453
Gasabo,30.10835316137655,-1.893177730525707
Kicukiro,30.1160468919608,-2.0015056372598705
Nyanza,29.756705384861867,-2.3193601686232608
Gisagara,29.794608910995354,-2.6517914711053936
Nyaruguru,29.56819187669911,-2.683886903873579
Huye,29.709830019190605,-2.528499218570314
Nyamagabe,29.510578853436083,-2.403060303294183
Ruhango,29.75436845364592,-2.1899393652252774
Muhanga,29.724050780873984,-2.0055049076824183
Kamonyi,29.88533681455056,-2.035592160626299
Karongi,29.45100803991714,-2.139569686025482
Rutsiro,29.443935523030756,-1.9208031078261385
Rubavu,29.368884315394432,-1.6788327505451377
Nyabihu,29.503766153411863,-1.6626939191123231
Ngororero,29.550855610140612,-1.901968930084654
Rusizi,29.07688538546682,-2.549376209139595
Rulindo,30.000016058734193,-1.7291969038855775
Gakenke,29.797640458177703,-1.6768488309888647
Musanze,29.637421573616734,-1.528619784791224
Burera,29.85710418503019,-1.4942934195934607
Gicumbi,30.097685408736112,-1.614039452547226
Rwamagana,30.346651698756872,-1.9532961735543741
Nyagatare,30.26974421791071,-1.37190669271465
Gatsibo,30.286717368501364,-1.6362442373450974
Kayonza,30.553144189938667,-1.959310052068634
Kirehe,30.660860465380814,-2.2307883129708395
Ngoma,30.487797597681247,-2.1765543454668683
Bugesera,30.151794425546303,-2.192647307421936
Nyamasheke,29.106443024103438,-2.4298021962747125
