GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NTD_ONCHEMO,Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-individuals-in-the-country-requiring-preventive-chemotherapy-for-onchocerciasis,2019,2019,2019,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_YAWSNUM_CONF,Number of confirmed yaws cases reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-confirmed-cases-of-yaws-reported,2023,2023,2023,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_ONCHEMO,Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-individuals-in-the-country-requiring-preventive-chemotherapy-for-onchocerciasis,2018,2018,2018,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,1997,1997,1997,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,0.0,0,,
NTD_BU_END,Status of endemicity of Buruli ulcer,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/buruli-ulcer,2024,2024,2024,AFR,Africa,RWA,Rwanda,,,,,Non-endemic,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2023,2023,2023,AFR,Africa,RWA,Rwanda,,,,0.0,0,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2009,2009,2009,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_ONCHEMO,Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-individuals-in-the-country-requiring-preventive-chemotherapy-for-onchocerciasis,2013,2013,2013,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_ONCHEMO,Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-individuals-in-the-country-requiring-preventive-chemotherapy-for-onchocerciasis,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,1991,1991,1991,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2016,2016,2016,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2013,2013,2013,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_ONCHEMO,Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-individuals-in-the-country-requiring-preventive-chemotherapy-for-onchocerciasis,2024,2024,2024,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_ONCHEMO,Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-individuals-in-the-country-requiring-preventive-chemotherapy-for-onchocerciasis,2015,2015,2015,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2018,2018,2018,AFR,Africa,RWA,Rwanda,,,,0.0,0,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,1999,1999,1999,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2018,2018,2018,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_6,Status of elimination of trachoma as a public health problem,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/status-of-elimination-of-trachoma-as-a-public-health-problem,2026,2026,2026,AFR,Africa,RWA,Rwanda,,,,,Thought to not require interventions,,
NTD_YAWSNUM_CONF,Number of confirmed yaws cases reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-confirmed-cases-of-yaws-reported,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_ONCHSTATUS,Status of endemicity of onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/status-of-endemicity-of-onchocerciasis,2025,2025,2025,AFR,Africa,RWA,Rwanda,,,,,Thought not requiring PC,,
NTD_TSOL1,Status of endemicity of Taenia solium,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/status-of-endemicity-of-taenia-solium,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,,Endemic,,
NTD_YAWSNUM_CONF,Number of confirmed yaws cases reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-confirmed-cases-of-yaws-reported,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,1992,1992,1992,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_ONCHEMO,Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-individuals-in-the-country-requiring-preventive-chemotherapy-for-onchocerciasis,2014,2014,2014,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2019,2019,2019,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_TSOL4,Practice of backyard pig production,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/taenia-solium-practice-of-backyard-pig-production,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,,Present,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2015,2015,2015,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2011,2011,2011,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2012,2012,2012,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2024,2024,2024,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2014,2014,2014,AFR,Africa,RWA,Rwanda,,,,,No data,,
