species_requested,scientificName,country,decimalLatitude,decimalLongitude,eventDate,year,basisOfRecord,institutionCode,datasetName,gbifID
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6189869812
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6189869813
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6189891410
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6189897008
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6189910725
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6189916620
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6189917278
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6189919502
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6189919503
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6189935718
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6189994750
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6190079892
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6190120322
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6190130582
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6190203327
Anopheles funestus,"Anopheles funestus Giles, 1900",Uganda,0.38,33.62,2021,2021,MATERIAL_SAMPLE,,,6190208146
