species_requested,scientificName,country,decimalLatitude,decimalLongitude,eventDate,year,basisOfRecord,institutionCode,datasetName,gbifID
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-01,2020,HUMAN_OBSERVATION,VecB,,3893354540
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-01,2020,HUMAN_OBSERVATION,VecB,,3893355554
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-2.015,30.026,2020-01,2020,HUMAN_OBSERVATION,VecB,,3893358541
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-01,2020,HUMAN_OBSERVATION,VecB,,3893359306
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-01,2020,HUMAN_OBSERVATION,VecB,,3893361545
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-01-07,2020,HUMAN_OBSERVATION,VecB,,4539688115
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-01-08,2020,HUMAN_OBSERVATION,VecB,,4539689126
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-01-07,2020,HUMAN_OBSERVATION,VecB,,4539690116
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-01-08,2020,HUMAN_OBSERVATION,VecB,,4539691082
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-01-08,2020,HUMAN_OBSERVATION,VecB,,4539769106
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-02,2020,HUMAN_OBSERVATION,VecB,,3893355310
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-02,2020,HUMAN_OBSERVATION,VecB,,3893357538
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-02,2020,HUMAN_OBSERVATION,VecB,,3893358540
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-02,2020,HUMAN_OBSERVATION,VecB,,3893358543
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-2.015,30.026,2020-02,2020,HUMAN_OBSERVATION,VecB,,3893358548
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-02-08,2020,HUMAN_OBSERVATION,VecB,,4539681935
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-02-08,2020,HUMAN_OBSERVATION,VecB,,4539682157
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-02-08,2020,HUMAN_OBSERVATION,VecB,,4539688068
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-02-07,2020,HUMAN_OBSERVATION,VecB,,4539690096
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-03,2020,HUMAN_OBSERVATION,VecB,,3893359531
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-03,2020,HUMAN_OBSERVATION,VecB,,3893359543
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-03,2020,HUMAN_OBSERVATION,VecB,,3893360308
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-2.015,30.026,2020-03,2020,HUMAN_OBSERVATION,VecB,,3893360539
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-03,2020,HUMAN_OBSERVATION,VecB,,3893360548
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-03-05,2020,HUMAN_OBSERVATION,VecB,,4539686110
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-03-06,2020,HUMAN_OBSERVATION,VecB,,4539687161
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-03-06,2020,HUMAN_OBSERVATION,VecB,,4539690098
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-04,2020,HUMAN_OBSERVATION,VecB,,3893357309
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-04,2020,HUMAN_OBSERVATION,VecB,,3893360540
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-05,2020,HUMAN_OBSERVATION,VecB,,3893355549
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-2.015,30.026,2020-05,2020,HUMAN_OBSERVATION,VecB,,3893357314
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-05,2020,HUMAN_OBSERVATION,VecB,,3893357536
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-2.015,30.026,2020-05,2020,HUMAN_OBSERVATION,VecB,,3893358307
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-05,2020,HUMAN_OBSERVATION,VecB,,3893358312
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-05,2020,HUMAN_OBSERVATION,VecB,,3893360546
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-06,2020,HUMAN_OBSERVATION,VecB,,3893355556
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-2.015,30.026,2020-06,2020,HUMAN_OBSERVATION,VecB,,3893356309
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-06,2020,HUMAN_OBSERVATION,VecB,,3893356535
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-2.015,30.026,2020-06,2020,HUMAN_OBSERVATION,VecB,,3893357541
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-06,2020,HUMAN_OBSERVATION,VecB,,3893357623
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-06,2020,HUMAN_OBSERVATION,VecB,,3893361542
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-07,2020,HUMAN_OBSERVATION,VecB,,3893354301
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-07,2020,HUMAN_OBSERVATION,VecB,,3893355538
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-2.015,30.026,2020-07,2020,HUMAN_OBSERVATION,VecB,,3893358308
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-07,2020,HUMAN_OBSERVATION,VecB,,3893359540
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-2.015,30.026,2020-07,2020,HUMAN_OBSERVATION,VecB,,3893360545
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-07,2020,HUMAN_OBSERVATION,VecB,,3893361305
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-07-14,2020,HUMAN_OBSERVATION,VecB,,4539682081
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-07-16,2020,HUMAN_OBSERVATION,VecB,,4539682127
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-07-14,2020,HUMAN_OBSERVATION,VecB,,4539688120
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-07-18,2020,HUMAN_OBSERVATION,VecB,,4539689082
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-07-18,2020,HUMAN_OBSERVATION,VecB,,4539691137
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-07-16,2020,HUMAN_OBSERVATION,VecB,,4539768121
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-2.015,30.026,2020-08,2020,HUMAN_OBSERVATION,VecB,,3893357622
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-08,2020,HUMAN_OBSERVATION,VecB,,3893358558
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-08,2020,HUMAN_OBSERVATION,VecB,,3893359307
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-08,2020,HUMAN_OBSERVATION,VecB,,3893360312
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-08,2020,HUMAN_OBSERVATION,VecB,,3893361540
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-2.015,30.026,2020-08,2020,HUMAN_OBSERVATION,VecB,,3893361547
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-08-06,2020,HUMAN_OBSERVATION,VecB,,4539682150
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-08-06,2020,HUMAN_OBSERVATION,VecB,,4539683083
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-08-12,2020,HUMAN_OBSERVATION,VecB,,4539684115
