species_requested,scientificName,country,decimalLatitude,decimalLongitude,eventDate,year,basisOfRecord,institutionCode,datasetName,gbifID
Culex quinquefasciatus,"Culex quinquefasciatus Say, 1823","Tanzania, United Republic of",-3.91028,35.821,2021-04-23,2021,HUMAN_OBSERVATION,NM-AIST,Invertebrates of the Lake Manyara sub-basin,4065055341
Culex quinquefasciatus,"Culex quinquefasciatus Say, 1823","Tanzania, United Republic of",-3.84758,35.8038,2021-04-13,2021,HUMAN_OBSERVATION,NM-AIST,Invertebrates of the Lake Manyara sub-basin,4065055402
Culex quinquefasciatus,"Culex quinquefasciatus Say, 1823","Tanzania, United Republic of",-3.35891,35.6683,2021-04-15,2021,HUMAN_OBSERVATION,NM-AIST,Invertebrates of the Lake Manyara sub-basin,4065055420
Culex quinquefasciatus,"Culex quinquefasciatus Say, 1823","Tanzania, United Republic of",-3.87786,35.7936,2021-04-13,2021,HUMAN_OBSERVATION,NM-AIST,Invertebrates of the Lake Manyara sub-basin,4065055428
Culex quinquefasciatus,"Culex quinquefasciatus Say, 1823","Tanzania, United Republic of",-3.52126,35.7719,2021-04-14,2021,HUMAN_OBSERVATION,NM-AIST,Invertebrates of the Lake Manyara sub-basin,4065055432
Culex quinquefasciatus,"Culex quinquefasciatus Say, 1823","Tanzania, United Republic of",-3.37497,35.8558,2021-04-13,2021,HUMAN_OBSERVATION,NM-AIST,Invertebrates of the Lake Manyara sub-basin,4065055453
Culex quinquefasciatus,"Culex quinquefasciatus Say, 1823","Tanzania, United Republic of",-3.98986,35.7812,2021-04-21,2021,HUMAN_OBSERVATION,NM-AIST,Invertebrates of the Lake Manyara sub-basin,4065055518
Culex quinquefasciatus,"Culex quinquefasciatus Say, 1823","Tanzania, United Republic of",-3.34447,35.6504,2021-04-15,2021,HUMAN_OBSERVATION,NM-AIST,Invertebrates of the Lake Manyara sub-basin,4065055522
Culex quinquefasciatus,"Culex quinquefasciatus Say, 1823","Tanzania, United Republic of",-3.55259,35.7332,2021-04-14,2021,HUMAN_OBSERVATION,NM-AIST,Invertebrates of the Lake Manyara sub-basin,4065055534
Culex quinquefasciatus,"Culex quinquefasciatus Say, 1823","Tanzania, United Republic of",-3.99555,35.7798,2021-04-20,2021,HUMAN_OBSERVATION,NM-AIST,Invertebrates of the Lake Manyara sub-basin,4065055541
Culex quinquefasciatus,"Culex quinquefasciatus Say, 1823","Tanzania, United Republic of",-3.53748,35.7605,2021-04-14,2021,HUMAN_OBSERVATION,NM-AIST,Invertebrates of the Lake Manyara sub-basin,4065055578
Culex quinquefasciatus,"Culex quinquefasciatus Say, 1823","Tanzania, United Republic of",-3.98235,35.8001,2021-04-23,2021,HUMAN_OBSERVATION,NM-AIST,Invertebrates of the Lake Manyara sub-basin,4065055611
