site_id,sentinel_name,site_label,longitude,latitude,wkt,coordinate_source,coordinate_quality,regional_role
ngarama,Ngarama,Ngarama,30.2426185,-1.5384402,POINT (30.2426185 -1.5384402),map_33_sentinel_xls_wkt,lecturer_provided_wkt_coordinate,rwanda_proof_of_concept_sentinel_site
gashora,Gashora,Gashora,30.2426185,-2.2050337,POINT (30.2426185 -2.2050337),map_33_sentinel_xls_wkt,lecturer_provided_wkt_coordinate,rwanda_proof_of_concept_sentinel_site
mareba,Mareba,Mareba Health Centre,30.0703223,-2.2476988,POINT (30.0703223 -2.2476988),map_33_sentinel_xls_wkt,lecturer_provided_wkt_coordinate,rwanda_proof_of_concept_sentinel_site
cyondo,Cyondo,Cyondo Health Centre,30.1204601,-1.4406602,POINT (30.1204601 -1.4406602),map_33_sentinel_xls_wkt,lecturer_provided_wkt_coordinate,rwanda_proof_of_concept_sentinel_site
karambi,Karambi,Karambi Health Centre,29.650769,-2.225432,POINT (29.650769 -2.225432),map_33_sentinel_xls_wkt,lecturer_provided_wkt_coordinate,rwanda_proof_of_concept_sentinel_site
groupe,Groupe,Groupe Scolaire Mubuga,29.5745453,-2.1438188,POINT (29.5745453 -2.1438188),map_33_sentinel_xls_wkt,lecturer_provided_wkt_coordinate,rwanda_proof_of_concept_sentinel_site
ngera,Ngera,Ngera Health Centre,29.6866626,-2.7135971,POINT (29.6866626 -2.7135971),map_33_sentinel_xls_wkt,lecturer_provided_wkt_coordinate,rwanda_proof_of_concept_sentinel_site
kirarambogo,Kirarambogo,Kirarambogo Health Centre,29.899979,-2.6207571,POINT (29.899979 -2.6207571),map_33_sentinel_xls_wkt,lecturer_provided_wkt_coordinate,rwanda_proof_of_concept_sentinel_site
busoro,Busoro,Busoro Health Centre,29.9304473,-2.2893504,POINT (29.9304473 -2.2893504),map_33_sentinel_xls_wkt,lecturer_provided_wkt_coordinate,rwanda_proof_of_concept_sentinel_site
kicukiro,Kicukiro,Kicukiro,30.1358346,-2.0085703,POINT (30.1358346 -2.0085703),map_33_sentinel_xls_wkt,lecturer_provided_wkt_coordinate,rwanda_proof_of_concept_sentinel_site
