date,tmean_c,dewpoint_c,rainfall_mm,runoff_mm,surface_runoff_mm,soil_water_layer1_m3_m3,coverage,source_file
2020-01-01,20.7019,14.5748,3.3037,2.4034,0.3606,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-02,20.7027,14.7038,1.0786,1.9504,0.1039,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-03,20.3095,14.8251,1.1111,1.9741,0.1039,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-04,20.1624,15.0745,1.8697,1.8762,0.1871,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-05,19.3305,15.6517,7.4062,2.3539,0.6988,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-06,18.9628,15.3791,7.4427,2.4223,0.6996,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-07,19.6019,14.9508,3.4852,1.9894,0.3642,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-08,18.5628,15.9031,7.2047,1.9428,0.4797,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-09,19.0753,15.713,11.2398,3.4211,1.6226,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-10,19.3718,15.1913,11.2853,3.499,1.6242,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-11,18.6238,14.8907,5.5819,2.2872,0.7523,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-12,18.3398,14.9442,5.127,2.2301,0.7412,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-13,18.7317,15.2863,14.8749,7.054,4.6543,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-14,20.3192,15.298,15.0743,7.2129,4.6652,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-15,20.6543,15.0542,3.7757,2.403,0.519,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-16,20.8723,14.7532,2.046,1.7257,0.1292,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-17,20.1714,16.1328,7.1366,2.26,0.7433,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-18,19.8094,16.1493,7.4182,2.3346,0.7526,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-19,20.3561,15.303,4.6033,1.9651,0.3377,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-20,21.0864,15.2235,0.8085,1.4597,0.0449,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-21,21.4396,15.2355,1.5714,1.3875,0.0856,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-22,21.0779,15.0651,1.6034,1.4306,0.0862,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-23,20.9661,14.9251,1.3422,1.3244,0.0326,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-24,19.6711,15.4663,3.7341,1.5908,0.3686,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
2020-01-25,20.8847,14.9363,3.7636,1.6417,0.3697,,rwanda_bbox_mean,era5_land_rwanda_2020_01.nc
