month,tmean_c,dewpoint_c,rainfall_mean_daily_mm,rainfall_total_estimated_mm,runoff_mean_daily_mm,runoff_total_estimated_mm,surface_runoff_mean_daily_mm,surface_runoff_total_estimated_mm,days_in_month,coverage,source_file
2020-01,19.8104,15.3086,4.7317,146.6835,2.1831,67.6761,0.5453,16.9049,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2020.nc
2020-02,19.9887,15.7101,6.2633,181.6353,2.7705,80.3456,0.9324,27.0408,29,rwanda_bbox_mean,era5_land_rwanda_monthly_2020.nc
2020-03,19.8188,16.1254,7.7745,241.0109,3.7491,116.221,1.1396,35.3273,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2020.nc
2020-04,19.4595,16.0615,8.5473,256.4191,3.9879,119.6366,1.0658,31.9745,30,rwanda_bbox_mean,era5_land_rwanda_monthly_2020.nc
2020-05,19.5701,14.5225,3.2281,100.0724,2.7999,86.7982,0.4173,12.9357,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2020.nc
2020-06,19.5225,12.6384,1.7496,52.4883,0.8741,26.2244,0.0902,2.7067,30,rwanda_bbox_mean,era5_land_rwanda_monthly_2020.nc
2020-07,19.6499,11.0455,0.9194,28.5012,0.4848,15.0273,0.059,1.8305,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2020.nc
2020-08,20.7658,11.7961,2.1852,67.7407,0.6321,19.5962,0.2756,8.5426,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2020.nc
2020-09,20.1194,13.0944,3.896,116.8793,1.0798,32.3946,0.4148,12.4432,30,rwanda_bbox_mean,era5_land_rwanda_monthly_2020.nc
2020-10,19.496,14.4683,6.5852,204.1419,2.28,70.6806,0.8574,26.5779,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2020.nc
2020-11,18.8632,15.1616,7.5726,227.1774,2.9411,88.2325,0.9668,29.0038,30,rwanda_bbox_mean,era5_land_rwanda_monthly_2020.nc
2020-12,19.0724,14.759,5.3314,165.2731,2.4121,74.7737,0.6646,20.6015,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2020.nc
2021-01,19.125,14.6337,4.9023,151.9726,2.2013,68.2389,0.5224,16.1946,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2021.nc
2021-02,19.8993,14.7443,4.2627,119.3562,1.5082,42.2296,0.5087,14.2435,28,rwanda_bbox_mean,era5_land_rwanda_monthly_2021.nc
2021-03,19.5733,14.727,5.3813,166.8207,1.7677,54.7985,0.6549,20.302,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2021.nc
2021-04,18.93,15.4402,6.2479,187.4377,2.61,78.299,0.8508,25.5249,30,rwanda_bbox_mean,era5_land_rwanda_monthly_2021.nc
2021-05,19.0773,14.8181,5.0036,155.1129,2.9267,90.7279,0.4272,13.2417,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2021.nc
2021-06,19.456,11.7737,0.5684,17.052,0.7564,22.6918,0.0181,0.5424,30,rwanda_bbox_mean,era5_land_rwanda_monthly_2021.nc
2021-07,19.7862,9.9085,0.5306,16.4484,0.3491,10.823,0.0216,0.6707,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2021.nc
2021-08,20.0219,11.6667,2.3448,72.6898,0.3587,11.1193,0.1381,4.2818,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2021.nc
2021-09,19.8222,13.5937,4.4467,133.402,0.8591,25.7741,0.4279,12.8379,30,rwanda_bbox_mean,era5_land_rwanda_monthly_2021.nc
2021-10,19.9885,14.5419,5.324,165.0436,1.8617,57.7115,0.7712,23.9071,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2021.nc
2021-11,19.5234,14.3985,4.9244,147.7324,1.6587,49.7599,0.5432,16.2948,30,rwanda_bbox_mean,era5_land_rwanda_monthly_2021.nc
2021-12,19.3424,15.1008,4.7623,147.6315,1.3832,42.8799,0.4782,14.8253,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2021.nc
2022-01,19.5679,14.0294,3.7675,116.7924,1.2696,39.3575,0.3334,10.3357,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2022.nc
2022-02,19.2004,14.8553,5.8421,163.5789,2.2062,61.7738,0.6567,18.3871,28,rwanda_bbox_mean,era5_land_rwanda_monthly_2022.nc
2022-03,19.932,14.8357,5.3555,166.0211,1.7936,55.6013,0.6259,19.4042,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2022.nc
2022-04,19.2721,15.24,8.3697,251.0899,3.5015,105.0438,1.1748,35.245,30,rwanda_bbox_mean,era5_land_rwanda_monthly_2022.nc
2022-05,19.1602,14.5631,3.6064,111.797,2.0168,62.5213,0.3026,9.3811,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2022.nc
2022-06,18.784,11.5004,0.4372,13.1149,0.7202,21.6057,0.0173,0.518,30,rwanda_bbox_mean,era5_land_rwanda_monthly_2022.nc
2022-07,19.7282,9.7047,1.2201,37.8232,0.3812,11.817,0.0558,1.7303,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2022.nc
2022-08,19.449,12.2556,3.4661,107.4505,0.5332,16.5279,0.2822,8.7495,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2022.nc
2022-09,19.506,13.6953,1.9631,58.8934,0.6453,19.3583,0.2487,7.4624,30,rwanda_bbox_mean,era5_land_rwanda_monthly_2022.nc
2022-10,20.217,13.3891,1.5634,48.4666,0.5361,16.6196,0.1586,4.916,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2022.nc
2022-11,18.678,14.9776,4.5942,137.8246,1.6925,50.776,0.5493,16.48,30,rwanda_bbox_mean,era5_land_rwanda_monthly_2022.nc
2022-12,18.464,14.6783,3.2519,100.8098,1.3814,42.8232,0.3762,11.663,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2022.nc
2023-01,19.0901,13.5951,1.4802,45.8873,0.8359,25.9129,0.1386,4.2979,31,rwanda_bbox_mean,era5_land_rwanda_monthly_2023.nc
