source_row_id,source_dataset,day_only,month,year,site_raw,district_raw,origin_larvae_collection_raw,breeding_site_type_raw,agri_insecticide_1_raw,agri_insecticide_2_raw,agri_insecticide_3_raw,anopheles_species_raw,species_source_dataset,quality_flag
1,mosquito_behavior_raw.xls,11.0,,,Ngarama,Gatsibo,Beans and Sorghum swamp,intercrop water drains,No pesticide,No pesticide,No pesticide,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
2,mosquito_behavior_raw.xls,11.0,,,Ngarama,Gatsibo,Beans and Sorghum swamp,intercrop water drains,No pesticide,No pesticide,No pesticide,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
3,mosquito_behavior_raw.xls,11.0,,,Ngarama,Gatsibo,Beans and Sorghum swamp,intercrop water drains,No pesticide,No pesticide,No pesticide,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
4,mosquito_behavior_raw.xls,11.0,,,Ngarama,Gatsibo,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
5,mosquito_behavior_raw.xls,11.0,,,Ngarama,Gatsibo,Beans and Sorghum swamp,intercrop water drains,No pesticide,No pesticide,No pesticide,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
6,mosquito_behavior_raw.xls,11.0,,,Ngarama,Gatsibo,Beans and Sorghum swamp,intercrop water drains,No pesticide,No pesticide,No pesticide,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
7,mosquito_behavior_raw.xls,11.0,,,Ngarama,Gatsibo,Beans and Sorghum swamp,intercrop water drains,No pesticide,No pesticide,No pesticide,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
8,mosquito_behavior_raw.xls,11.0,,,Ngarama,Gatsibo,Rice swamp,Irrigated rice,PROFENOFOS 4%,CYPERMETHRINE 4%,ABAMECTIN 1.8%,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
9,mosquito_behavior_raw.xls,11.0,,,Ngarama,Gatsibo,Beans and Sorghum swamp,intercrop water drains,No pesticide,No pesticide,No pesticide,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
10,mosquito_behavior_raw.xls,11.0,,,Ngarama,Gatsibo,Beans and Sorghum swamp,intercrop water drains,No pesticide,No pesticide,No pesticide,An.gambiae s.l,IR_data.xls,current_data_descriptive_day_only_no_gps_no_counts_no_effort
