district,latitude,longitude,climate_records,date_start,date_end,rainfall_total_mm,rainfall_mean_daily_mm,rainy_day_count_ge_1mm,heavy_rain_day_count_ge_20mm,tmean_c_mean,tmin_c_mean,tmax_c_mean,relative_humidity_mean,gbif_occurrence_count,data_use
Bugesera,-2.192647307421936,30.151794425546303,1826,2021-01-01,2025-12-31,6420.4,3.516,1017,52,19.882,15.053,25.64,76.059,0,district-level public covariate; validate with official site GPS before fitting field models
Burera,-1.4942934195934607,29.85710418503019,1826,2021-01-01,2025-12-31,8463.56,4.635,1207,84,17.674,13.178,23.269,80.59,0,district-level public covariate; validate with official site GPS before fitting field models
Gakenke,-1.6768488309888647,29.797640458177703,1826,2021-01-01,2025-12-31,8463.56,4.635,1207,84,17.674,13.178,23.269,80.59,0,district-level public covariate; validate with official site GPS before fitting field models
Gasabo,-1.893177730525707,30.10835316137655,1826,2021-01-01,2025-12-31,6420.4,3.516,1017,52,19.882,15.053,25.64,76.059,97,district-level public covariate; validate with official site GPS before fitting field models
Gatsibo,-1.6362442373450974,30.286717368501364,1826,2021-01-01,2025-12-31,8463.56,4.635,1207,84,17.674,13.178,23.269,80.59,0,district-level public covariate; validate with official site GPS before fitting field models
Gicumbi,-1.614039452547226,30.097685408736112,1826,2021-01-01,2025-12-31,8463.56,4.635,1207,84,17.674,13.178,23.269,80.59,0,district-level public covariate; validate with official site GPS before fitting field models
Gisagara,-2.6517914711053936,29.794608910995354,1826,2021-01-01,2025-12-31,6779.51,3.713,993,64,20.418,15.548,26.104,75.507,0,district-level public covariate; validate with official site GPS before fitting field models
Huye,-2.528499218570314,29.709830019190605,1826,2021-01-01,2025-12-31,6779.51,3.713,993,64,20.418,15.548,26.104,75.507,0,district-level public covariate; validate with official site GPS before fitting field models
Kamonyi,-2.035592160626299,29.88533681455056,1826,2021-01-01,2025-12-31,6420.4,3.516,1017,52,19.882,15.053,25.64,76.059,0,district-level public covariate; validate with official site GPS before fitting field models
Karongi,-2.139569686025482,29.45100803991714,1826,2021-01-01,2025-12-31,6074.21,3.327,979,46,20.358,17.23,24.182,70.23,0,district-level public covariate; validate with official site GPS before fitting field models
Kayonza,-1.959310052068634,30.553144189938667,1826,2021-01-01,2025-12-31,6730.78,3.686,1040,57,20.676,15.865,26.351,76.128,0,district-level public covariate; validate with official site GPS before fitting field models
Kicukiro,-2.0015056372598705,30.1160468919608,1826,2021-01-01,2025-12-31,6420.4,3.516,1017,52,19.882,15.053,25.64,76.059,91,district-level public covariate; validate with official site GPS before fitting field models
Kirehe,-2.2307883129708395,30.660860465380814,1826,2021-01-01,2025-12-31,6730.78,3.686,1040,57,20.676,15.865,26.351,76.128,0,district-level public covariate; validate with official site GPS before fitting field models
Muhanga,-2.0055049076824183,29.724050780873984,1826,2021-01-01,2025-12-31,6420.4,3.516,1017,52,19.882,15.053,25.64,76.059,0,district-level public covariate; validate with official site GPS before fitting field models
Musanze,-1.528619784791224,29.637421573616734,1826,2021-01-01,2025-12-31,8439.97,4.622,1128,78,17.563,13.776,22.089,79.872,0,district-level public covariate; validate with official site GPS before fitting field models
Ngoma,-2.1765543454668683,30.487797597681247,1826,2021-01-01,2025-12-31,6730.78,3.686,1040,57,20.676,15.865,26.351,76.128,0,district-level public covariate; validate with official site GPS before fitting field models
Ngororero,-1.901968930084654,29.550855610140612,1826,2021-01-01,2025-12-31,6074.21,3.327,979,46,20.358,17.23,24.182,70.23,0,district-level public covariate; validate with official site GPS before fitting field models
