field,description,status
source_row_id,Row number from exported IR_data selected_variables sheet,available
day_only,Day value from Date column; not a full date,available_but_incomplete
month,Month of test,missing
year,Year of test,missing_row_level
site_raw,Site name as written in source file,available
district_raw,District name as written in source file,available
insecticide_tested_raw,Insecticide and concentration tested,available
concentration_label_raw,Short concentration/test label such as Delth_1X or Acyp_1X+PBO,available
number_dead_24h,Number dead after 24 hours,available
mortality_rate_raw,Mortality rate from source file,blank_in_source
number_exposed,Number exposed in test denominator,needs_pi_lab_confirmation
control_mortality,Control mortality,missing_or_external
resistance_status,Final interpreted resistance status,not_safe_until_protocol_confirmed
protocol_quality,Quality flag for protocol readiness,derived
date_quality,Quality flag for date completeness,derived
gps_quality,Quality flag for GPS completeness,derived

