month,daily_records,date_start,date_end,rainfall_total_mm,rainfall_mean_daily_mm,runoff_total_mm,surface_runoff_total_mm,tmean_c,dewpoint_c,source_files
2020-01,31,2020-01-01,2020-01-31,196.832,6.349,77.67,25.406,19.812,15.309,era5_land_rwanda_2020_01.nc
2020-02,29,2020-02-01,2020-02-29,239.114,8.245,97.454,41.89,19.985,15.709,era5_land_rwanda_2020_02.nc
2020-03,31,2020-03-01,2020-03-31,296.265,9.557,131.986,48.116,19.819,16.126,era5_land_rwanda_2020_03.nc
2020-04,30,2020-04-01,2020-04-30,314.1,10.47,138.385,43.311,19.461,16.061,era5_land_rwanda_2020_04.nc
2020-05,31,2020-05-01,2020-05-31,132.427,4.272,96.469,19.657,19.57,14.528,era5_land_rwanda_2020_05.nc
2020-06,30,2020-06-01,2020-06-30,77.178,2.573,27.757,3.807,19.521,12.637,era5_land_rwanda_2020_06.nc
2020-07,31,2020-07-01,2020-07-31,40.041,1.292,15.913,2.751,19.648,11.046,era5_land_rwanda_2020_07.nc
2020-08,31,2020-08-01,2020-08-31,78.812,2.542,21.087,10.028,20.769,11.792,era5_land_rwanda_2020_08.nc
2020-09,30,2020-09-01,2020-09-30,162.639,5.421,41.009,19.72,20.119,13.094,era5_land_rwanda_2020_09.nc
2020-10,31,2020-10-01,2020-10-31,265.605,8.568,81.745,35.731,19.498,14.469,era5_land_rwanda_2020_10.nc
2025-01,31,2025-01-01,2025-01-31,132.206,4.265,44.291,0.0,19.844,13.995,era5_land_rwanda_2025_01.nc
