value,count
An.gambiae s.l,3114
An.gambiae ss,47
"An.gambiae, An.ziemani",46
"An.gambiae, An.ziemani an chrisyi",36
"An.gambiae s.l, An.maculpalpis",27
"An.gambiae s.l, An.ziemmani",21
"an gambiae, an ziemani",16
"an ziemani, an gambiae",12
"an, finestus, an ziemani.",12
"An.gambia, An.ziemani, an maculpalpus.",12
"an, carteri, an ziemani, an demeilloni, an gambiae",12
"an christyi, an finestusi",12
"An.gambiae s.l,An funestus",10
"An.gambiae, An.maculpalpis",8
"An.gambiae, An.ziemani, squamosis, an chrisyi",8
"An.gambiae s.l,an.ziemani",8
"An.gambiae, An. maculpalpis",7
An.gambiae s.l & An.funestus,7
"An.gambiae s.l, An.christy, An.brohieri",6
An.gambiae s.l & An.ziemanni,6
"an, gambiae,an squamosis, an christyi",6
"An.gambiae s.l, An.funestus",5
"An.gambiae s.l,An.Ziemanni",5
"An.gambiae s.l,an ziemani",5
"An.gambiae s.l, An.christy",4
An.gambiae s.l& An.ziemanni,4
"An.gambiae s.l,An. brohieri",4
"An.gambiae s.l, An.christy,An.squamosus",3
"An.gambiae s.l, An.ziemani",3
"An.gambiae s.l,An. Ziemmani",3
"An.gambiae s.l,An. Brohieri",3
"An.gambiae s.l,an.maculpalpis",3
"An.gambiae s.l,An.funestus",3
"An.gambiae s.l,an.maculipalpis",3
"An.gambiae, An.christy",2
"An.gambiae , An.maculpalpis",2
"An.gambiae, An. Maculpalpis, An.ziemmani",2
"An.gambiae s.l, An.christy,An.maculpalpis, An.brohieri",2
"An.gambiae s.l, An.pharoensis",2
An.gambiae s.l & An funestus,2
An.gambiae s.l & An.maculpalpis,2
"An.gambiae s.l, An.salbaii",2
"An.gambiae s.l, An.maculipalpis",2
"An.gambiae s.l, An.funestus, An.squamosus",2
"An.gambiae s.l,An salbaii",2
"An.gambiae s.l,An maculipalpis",2
"An.gambiae s.l,An.brohieri",2
"An.gambiae s.l,an.siquamosis",2
"An.gambiae s.l,An.squamosis",2
"An.gambiae s.l,an.finestus",2
"An.gambiae s.l, An.ziemmani, An.christy, An.maculpalpis, An.squamosus, An.brohieri,An.coustani",1
"An.gambiae s.l, An.christy, An.maculpalpis, An.brohieri",1
"An.gambiae s.l, An.christy,An.squamosus,An.maculpalpis",1
"An.gambiae s.l, An.christy,An.squamosus, An.ziemmani",1
"An.gambiae s.l, An.ziemmani, An.christy, An.maculpalpis, An.coustani",1
"An.gambiae s.l, An.ziemmani, An.christy",1
"An.gambiae s.l, An.christy, An.coustani",1
"An.gambiae s.l, An.christy, An.squamosus, An.brohieri",1
"An.gambiae s.l, An.pharoensis & An.maculpalpis",1
"An.gambiae s.l, An.funestus & An.ziemanni",1
"An.gambiae s.l, An.funestus & An.squamosus",1
An.gambiae s.l & An.squamosus,1
"An.gambiae s.l, An funestus & An.ziemanni",1
"An.gambiae s.l, An.funestus & An. Squamosus",1
"An.gambiae s.l, An.rivulorum",1
"An.gambiae s.l, An.dthali",1
"An.gambiae s.l, An.maculpalpis, An.brohieri",1
"An.gambiae s.l, An.macupalpis",1
"An.gambiae s.l, An.squamosis",1
"An.gambiae s.l, An.rufupes",1
"An.gambiae s.l, An.funestus, An.ziemmani",1
An.gambiae s.lAn.Ziemanni,1
"An.gambiae s.l,",1
"An.gambiae s.l,An jebudensis",1
"An.gambiae s.l,An rufipes",1
"An.gambiae s.l,An cinctus",1
"An.gambiae s.l, An maculipalpis",1
"An.gambiae s.l,An. ziemmani",1
"An.gambiae s.l,An. maculipalpis",1
"An.gambiae s.l, An.maculupalpis",1
"An.gambiae s.l, an.ziemani",1
"An.gambiae s.l,an.ziemani,An.funestus",1
"An.gambiae s.l,an ziemani,an.maculipalpis,an.finestus",1
"An.gambiae s.l,an ziemani,an.finestus",1
