insecticide_tested_raw,records,mean,min,max
Alphacypermethrin 0.05%,359,16.1,3.0,25.0
Alphacypermethrin 0.05% + PBO,316,22.899,16.0,25.0
Alphacypermethrin 0.25%,316,20.918,10.0,25.0
Alphacypermethrin 0.5%,316,22.557,14.0,25.0
Deltamethrin 0.05%,364,18.173,5.0,25.0
Deltamethrin 0.05% + PBO,212,23.59,16.0,25.0
Deltamethrin 0.25%,196,22.449,13.0,25.0
Deltamethrin 0.5%,208,23.74,17.0,25.0
Permethrin 0.75%,360,15.761,4.0,25.0
Permethrin 0.75% + PBO,300,22.617,13.0,25.0
Permethrin 3.75%,300,21.053,7.0,25.0
Permethrin 7.5%,300,22.493,10.0,25.0
